Name,MLB_Team,Position,AB,H,R,RBI,HR,SB
Mike Aviles,BOS,SS,4,1,1,0,0,0
Ryan Sweeney,BOS,OF,4,2,0,0,0,0
Dustin Pedroia,BOS,2B,4,2,0,0,0,0
Adrian Gonzalez,BOS,1B,3,0,0,1,0,0
David Oritz,BOS,1B,4,2,0,0,0,0
Kevin Youkilis,BOS,3B,4,0,1,0,0,0
Jared Saltalmacchia,BOS,C,4,2,2,2,1,0
Cody Ross,BOS,OF,4,2,2,3,2,0
Marlon Byrd,BOS,OF,4,1,0,0,0,0
Nick Punto,BOS,2B,0,0,0,0,0,0
Kelly Shoppach,BOS,C,0,0,0,0,0,0
Darnell McDonald,BOS,OF,0,0,0,0,0,0
Denard Span,MIN,OF,4,1,0,0,0,0
Jamey Carroll,MIN,SS,4,1,0,0,0,0
Joe Mauer,MIN,C,3,2,1,0,0,0
Josh Willingham,MN,OF,3,0,1,0,0,0
Justin Morneau,MIN,1B,3,0,0,0,0,0
Ryan Doumit,MIN,OF,4,2,1,2,0,0
Danny Valencia,MIN,3B,4,1,1,2,1,0
Chris Parmelee,MIN,OF,4,1,0,0,0,0
Clete Thomas,MIN,OF,0,0,0,0,0,0
Trevor Plouffe,MIN,2B,3,0,1,0,0,0
Brian Dozier,MIN,SS,0,0,0,0,0,0
Drew Butera,MIN,C,0,0,0,0,0,0
Alexi Casilla,MIN,2B,0,0,0,0,0,0
